,internal ID,Label,Summary,links,Start Date,End Date,color,tags,calid
0,51e647khe62oredoekm9mc0lsu,The Orionid meteor shower will reach its peak.,"<p>The Orionids are well-loved by meteor shower aficionados because of the bright, speedy streaks they make near the group of stars known as Orion’s Belt. Like the Eta Aquarid meteor shower, which peaked in early May, the Orionids result when Earth passes through debris from Halley’s Comet.</p><p>This shower can be seen from both hemispheres. But viewers this year may have trouble spotting some of the fainter streaks because the moon will be over 80 percent full. <a href=""https://www.nytimes.com/explain/2024/astronomy-space-calendar/how-to-watch-a-meteor-shower?smid=spacecal""><u>Here's what you need to know about watching meteor showers</u></a><span>.</span></p>",https://www.google.com/calendar/event?eid=NTFlNjQ3a2hlNjJvcmVkb2VrbTltYzBsc3Ugbnl0aW1lcy5jb21fODlhaTRpanBiNzMzZ3QyOHJnMjFkMmMyZWtAZw,2024-10-19 20:00:00,2024-10-21 20:00:00,#9fc6e7,NYT Astronomy and Space Calendar,nytimes.com_89ai4ijpb733gt28rg21d2c2ek@group.calendar.google.com
1,4qjcvtvo2mbetn4d8r8khvj0un,The Leonid meteor shower will reach its peak.,"<p>The Leonids produce some of the fastest meteors each year, at 44 miles per second, with bright, long tails.</p><p>Meteors from the Leonids can be spotted in the constellation Leo, and they will be visible from both the Northern and Southern Hemispheres. This year, spotting the Leonids will be difficult because of the nearly full moon. <a href=""https://www.nytimes.com/explain/2024/astronomy-space-calendar/how-to-watch-a-meteor-shower?smid=spacecal""><u>Here's what you need to know about watching meteor showers</u></a><span>.</span></p>",https://www.google.com/calendar/event?eid=NHFqY3Z0dm8ybWJldG40ZDhyOGtodmowdW4gbnl0aW1lcy5jb21fODlhaTRpanBiNzMzZ3QyOHJnMjFkMmMyZWtAZw,2024-11-15 19:00:00,2024-11-17 19:00:00,#9fc6e7,NYT Astronomy and Space Calendar,nytimes.com_89ai4ijpb733gt28rg21d2c2ek@group.calendar.google.com
2,6nc0e5ikgf9hpl44aagscbiscd,The Geminid meteor shower will reach its peak.,"<p>Caused by debris from an asteroid, the Geminids are one of the strongest and most popular meteor showers each year. This shower is best viewed from the Northern Hemisphere, but observers south of the Equator can also witness the show.</p><p>Like the Leonids last month, the Geminids peak during a nearly full moon, which may wash out the light from fainter streaks in the sky. <a href=""https://www.nytimes.com/explain/2024/astronomy-space-calendar/how-to-watch-a-meteor-shower?smid=spacecal""><u>Here's what you need to know about watching meteor showers</u></a><span>.</span></p>",https://www.google.com/calendar/event?eid=Nm5jMGU1aWtnZjlocGw0NGFhZ3NjYmlzY2Qgbnl0aW1lcy5jb21fODlhaTRpanBiNzMzZ3QyOHJnMjFkMmMyZWtAZw,2024-12-12 19:00:00,2024-12-14 19:00:00,#9fc6e7,NYT Astronomy and Space Calendar,nytimes.com_89ai4ijpb733gt28rg21d2c2ek@group.calendar.google.com
3,5dppbfbibg1k4ai1nblkjdgg85,The Ursid meteor shower will reach its peak.,"<p>A winter solstice light show, meteors from the Ursids appear near the Little Dipper, which is part of the constellation Ursa Minor.</p><p>Only skywatchers in the Northern Hemisphere will have a chance of seeing this shower. The moon will be half full, making streaks in the sky even more challenging to spot. <a href=""https://www.nytimes.com/explain/2024/astronomy-space-calendar/how-to-watch-a-meteor-shower?smid=spacecal""><u>Here's what you need to know about watching meteor showers</u></a><span>.</span></p>",https://www.google.com/calendar/event?eid=NWRwcGJmYmliZzFrNGFpMW5ibGtqZGdnODUgbnl0aW1lcy5jb21fODlhaTRpanBiNzMzZ3QyOHJnMjFkMmMyZWtAZw,2024-12-20 19:00:00,2024-12-22 19:00:00,#9fc6e7,NYT Astronomy and Space Calendar,nytimes.com_89ai4ijpb733gt28rg21d2c2ek@group.calendar.google.com
4,5q765i0pl980g4015at4imffui,The winter solstice.,"<p>It’s the scientific start to winter in the Northern Hemisphere, when this half of the world tilts away from the sun.<a href=""https://www.nytimes.com/2017/12/20/science/winter-solstice-december-21.html?smid=spacecal""> <strong>Read more about the solstice</strong></a>.</p>",https://www.google.com/calendar/event?eid=NXE3NjVpMHBsOTgwZzQwMTVhdDRpbWZmdWkgbnl0aW1lcy5jb21fODlhaTRpanBiNzMzZ3QyOHJnMjFkMmMyZWtAZw,2024-12-20 19:00:00,2024-12-21 19:00:00,#9fc6e7,NYT Astronomy and Space Calendar,nytimes.com_89ai4ijpb733gt28rg21d2c2ek@group.calendar.google.com
5,26afanp4h583955jtln99374mb,Rocket Lab may launch a small probe to Venus.,"<p>In what could be the first private mission to another planet, the company<a href=""https://www.nytimes.com/2020/09/15/science/venus-life-rocketlab.html?smid=spacecal""> Rocket Lab is sending a Photon spacecraft toward Venus</a>, where it will fire a small probe to briefly study the<a href=""https://www.nytimes.com/2021/02/08/science/venus-life-phosphine.html?smid=spacecal""> toxic world’s atmosphere</a>.</p>",https://www.google.com/calendar/event?eid=MjZhZmFucDRoNTgzOTU1anRsbjk5Mzc0bWIgbnl0aW1lcy5jb21fODlhaTRpanBiNzMzZ3QyOHJnMjFkMmMyZWtAZw,2024-12-29 19:00:00,2024-12-30 19:00:00,#9fc6e7,NYT Astronomy and Space Calendar,nytimes.com_89ai4ijpb733gt28rg21d2c2ek@group.calendar.google.com
6,0e6vj1qd9f1m24r987qs9q6e1a,A newly discovered comet makes its closest approach to Earth.,"<p>First detected by Chinese astronomers in January 2023, Comet Tsuchinshan-ATLAS comes within 44 million miles of Earth just a couple weeks after a close encounter with the sun.</p><p>If the comet survives the rendezvous with our home star, scientists expect an impressive sight. Astute observers may have already spotted the comet in morning skies earlier in October, but it should be especially bright in the evening from now through Oct. 24.</p>",https://www.google.com/calendar/event?eid=MGU2dmoxcWQ5ZjFtMjRyOTg3cXM5cTZlMWEgbnl0aW1lcy5jb21fODlhaTRpanBiNzMzZ3QyOHJnMjFkMmMyZWtAZw,2024-10-11 20:00:00,2024-10-13 20:00:00,#9fc6e7,NYT Astronomy and Space Calendar,nytimes.com_89ai4ijpb733gt28rg21d2c2ek@group.calendar.google.com
7,0chjh4khv8ndufev3qd7v8kcu2,Data Science Immersion - Dallas,,https://www.google.com/calendar/event?eid=MGNoamg0a2h2OG5kdWZldjNxZDd2OGtjdTIgY29zY2FsQG5kLmVkdQ,2025-01-08 19:00:00,2025-01-11 19:00:00,#b3dc6c,CoS College-wide Events & Conferences,coscal@nd.edu
8,2g7hr8fqrnfq6n5nfsb8ieeu2m,Dean's Awards Luncheon,,https://www.google.com/calendar/event?eid=Mmc3aHI4ZnFybmZxNm41bmZzYjhpZWV1Mm0gY29zY2FsQG5kLmVkdQ,2025-05-16 12:00:00,2025-05-16 14:00:00,#b3dc6c,CoS College-wide Events & Conferences,coscal@nd.edu
9,3ou2hjlqj4ct9r014ur9vj6lj6,Our Universe Revealed series at SJCPL,,https://www.google.com/calendar/event?eid=M291MmhqbHFqNGN0OXIwMTR1cjl2ajZsajZfMjAyNDA5MDRUMjIwMDAwWiBjb3NjYWxAbmQuZWR1,2024-09-04 18:00:00,2024-09-04 19:00:00,#b3dc6c,CoS College-wide Events & Conferences,coscal@nd.edu
